numThreads, numTrapazoids, result, time
1, 10000, 1364.29, 0.000587
1, 20000, 1364.65, 0.000191
1, 30000, 1365.28, 0.000255
1, 40000, 1364.91, 0.000339
1, 50000, 1364.73, 0.000413
1, 60000, 1365.34, 0.000496
1, 70000, 1365.5, 0.000693
1, 80000, 1365.27, 0.000661
1, 90000, 1365.28, 0.000768
1, 100000, 1365.24, 0.000888
2, 10000, 1365.76, 0.000619
2, 20000, 1365.47, 0.000865
2, 30000, 1365.33, 0.000958
2, 40000, 1365.78, 0.001152
2, 50000, 1364.7, 0.001166
2, 60000, 1365.49, 0.001294
2, 70000, 1365.58, 0.001351
2, 80000, 1365.67, 0.001447
2, 90000, 1365.38, 0.001242
2, 100000, 1366.02, 0.001739
3, 10000, 1365.88, 0.000701
3, 20000, 1364.72, 0.000821
3, 30000, 1365.25, 0.000986
3, 40000, 1364.81, 0.00111
3, 50000, 1365.77, 0.001127
3, 60000, 1366.49, 0.001027
3, 70000, 1365.54, 0.001379
3, 80000, 1365.42, 0.001553
3, 90000, 1365.01, 0.001674
3, 100000, 1365.44, 0.001601
4, 10000, 1366.14, 0.000844
4, 20000, 1365.6, 0.00067
4, 30000, 1366.67, 0.000829
4, 40000, 1365.51, 0.000992
4, 50000, 1365.34, 0.000977
4, 60000, 1365.61, 0.000999
4, 70000, 1365.62, 0.001042
4, 80000, 1364.98, 0.00126
4, 90000, 1364.28, 0.001561
4, 100000, 1366.01, 0.001488
5, 10000, 1364.98, 0.000451
5, 20000, 1365.51, 0.000557
5, 30000, 1365.68, 0.000778
5, 40000, 1365.86, 0.000898
5, 50000, 1365.19, 0.000887
5, 60000, 1365.08, 0.001308
5, 70000, 1365.41, 0.000958
5, 80000, 1365.46, 0.001279
5, 90000, 1365.49, 0.006769
5, 100000, 1365.49, 0.001247
6, 10000, 1365.69, 0.000564
6, 20000, 1365.54, 0.000624
6, 30000, 1365.02, 0.00053
6, 40000, 1365.49, 0.000785
6, 50000, 1365.44, 0.000772
6, 60000, 1365.03, 0.000771
6, 70000, 1364.89, 0.001063
6, 80000, 1365.55, 0.001074
6, 90000, 1365.53, 0.001339
6, 100000, 1366.15, 0.001297
7, 10000, 1364.57, 0.000408
7, 20000, 1365.21, 0.000405
7, 30000, 1366, 0.000625
7, 40000, 1365.76, 0.000723
7, 50000, 1364.92, 0.000858
7, 60000, 1364.73, 0.000854
7, 70000, 1365.48, 0.001043
7, 80000, 1365.35, 0.000992
7, 90000, 1364.9, 0.001243
7, 100000, 1365.22, 0.001162
8, 10000, 1365.21, 0.00034
8, 20000, 1364.74, 0.000509
8, 30000, 1364.9, 0.000572
8, 40000, 1365.78, 0.000537
8, 50000, 1365.62, 0.000698
8, 60000, 1365.05, 0.000726
8, 70000, 1365.31, 0.000961
8, 80000, 1365.64, 0.001019
8, 90000, 1365.11, 0.001114
8, 100000, 1364.46, 0.00111
9, 10000, 1364.03, 0.000393
9, 20000, 1364.94, 0.00038
9, 30000, 1365.17, 0.000536
9, 40000, 1365.02, 0.000737
9, 50000, 1365.14, 0.000708
9, 60000, 1365.31, 0.000769
9, 70000, 1365.37, 0.000793
9, 80000, 1365.38, 0.000884
9, 90000, 1365.59, 0.001122
9, 100000, 1365.54, 0.001086
10, 10000, 1365.27, 0.000316
10, 20000, 1365.16, 0.00036
10, 30000, 1365.12, 0.000476
10, 40000, 1365.43, 0.000525
10, 50000, 1365.19, 0.000635
10, 60000, 1366.05, 0.000862
10, 70000, 1365.79, 0.000835
10, 80000, 1366.28, 0.000891
10, 90000, 1365.7, 0.00101
10, 100000, 1365.54, 0.001093
11, 10000, 1364.99, 0.000352
11, 20000, 1365.95, 0.000318
11, 30000, 1365.61, 0.000404
11, 40000, 1365.19, 0.000479
11, 50000, 1365.35, 0.000627
11, 60000, 1365.99, 0.006687
11, 70000, 1364.94, 0.000768
11, 80000, 1365.04, 0.000899
11, 90000, 1365.74, 0.00102
11, 100000, 1365.69, 0.001069
12, 10000, 1365.13, 0.000314
12, 20000, 1364.41, 0.000414
12, 30000, 1365.89, 0.000524
12, 40000, 1365.22, 0.000491
12, 50000, 1365.55, 0.000671
12, 60000, 1365.51, 0.000618
12, 70000, 1364.76, 0.012671
12, 80000, 1365.42, 0.00081
12, 90000, 1364.46, 0.000882
12, 100000, 1364.62, 0.000939
